trial,status,episode_return,wall_clock_s,num_updates,total_timesteps,seed,actor_lr,critic_lr,ppo_epochs,num_minibatches,gamma,gae_lambda,clip_eps,ent_coef,vf_coef,max_grad_norm,num_updates
1,ok,-1.8750,13.9,1200,9830400,940306,6.0664439428565306e-05,6.6535782274678e-05,3,1,0.9825027280234978,0.9744829824145119,0.38638025460817027,0.011309423093126521,0.49341078132271055,0.351509399001138,120
2,ok,5.4375,16.0,1180,9666560,437152,7.219151825657473e-05,0.0001438574247304991,3,3,0.9428826104701991,0.8543278123034208,0.1908758634086376,0.010007504613491824,0.2569252853677521,1.2840210846031126,118
3,ok,2.7812,13.3,1190,9748480,160689,0.00011419309325756272,9.728196649292136e-05,2,1,0.9891671173423405,0.8966962725421046,0.5032837740037568,0.011502322285379861,1.7891166929657407,0.8437677179518469,119
4,ok,2.7188,13.8,1200,9830400,832678,8.913983208845035e-05,0.00015501727433675397,3,1,0.9890603606611538,0.9741205397789786,0.17523330215083338,0.014428673881171056,0.6648590999818283,0.2216358773686458,120
5,ok,7.9375,16.3,1190,9748480,629764,9.183019691547265e-05,0.00018727878970462405,3,3,0.9216560734146189,0.7575432987486604,0.13773192945842289,0.011340424873254326,0.2353864550338442,1.5134283330495115,119
6,ok,9.7500,16.3,1190,9748480,700265,0.00012997744573214448,0.00019626801976740398,3,3,0.9111039904333128,0.5884202890557649,0.1175039224636702,0.018380782841314548,0.1488550136314678,1.2243322729179276,119
7,ok,10.6250,16.2,1190,9748480,97227,0.00014491409853760806,0.0002385390160210142,3,3,0.8558705335020332,0.5101050968542402,0.1000883232139571,0.01692746478336758,0.1869875953275447,1.031187557991105,119
8,ok,10.7500,16.2,1190,9748480,312367,0.00014948610965530895,0.0003134796715132627,3,3,0.7859693824296532,0.40439557950671606,0.08646583698842818,0.01259596740947665,0.38484029386566765,1.1797518050226892,119
9,ok,11.0000,16.2,1190,9748480,767844,0.00018066075983041944,0.0004176189812072225,3,3,0.6193037975192678,0.323195639497718,0.06429642407568345,0.00724932682823488,0.34394618760624096,1.2592191563515756,119
10,ok,11.0000,16.4,1200,9830400,832259,0.00020045767806338468,0.0005921475586592248,3,3,0.5893184217491368,0.23802195648936536,0.05006044977290098,0.0069865549114905825,0.7129578930681585,1.058185612051514,120
11,ok,11.0000,16.3,1190,9748480,435217,0.00028709646141093407,0.0005267110130292731,3,3,0.5055412878992216,0.23120338799698362,0.058586175045893495,0.005504264450131515,0.4640620537114993,1.2275374093027374,119
12,ok,11.0000,17.2,1190,9748480,804764,0.00026139978804240054,0.0005507483529222382,3,3,0.5090396557739316,0.17257661651324482,0.051914222839081536,0.0030271307479647737,0.6839053246791469,0.9018781130932697,119
13,ok,11.0000,16.4,1200,9830400,841692,0.000405896777744942,0.000811045500784913,3,3,0.5167257597877648,0.2384484650625917,0.05759653906410762,0.006638356704583297,0.37679219591504737,1.6109529913947855,120
14,ok,11.0000,16.2,1190,9748480,387478,0.0002550615881948896,0.0006924939038659091,3,3,0.4537782270817198,0.22978118104860384,0.06092870971128749,0.0034154541350343696,0.517353802076691,1.0516032318613129,119
15,ok,11.0000,15.1,1190,9748480,898087,0.0004075190854986757,0.000639133502480455,2,3,0.42400666243121815,0.13716736273855423,0.03435966554936541,0.006150121364206406,0.5840695045274068,1.3452190262443284,119
16,ok,10.7500,15.1,1190,9748480,288328,0.0003541178708293754,0.0009873785978474748,2,3,0.3023391182455841,0.11647778623729604,0.023476854395591815,0.005457626404851901,0.917111454243127,1.64846555858648,119
17,ok,11.0000,14.9,1180,9666560,239558,0.0005202944910181771,0.0006622104747321315,2,3,0.49646037935826315,0.09556164020920492,0.05880905656567565,0.005410049831017495,0.45025934765370135,1.8320768416493614,118
18,ok,11.0000,15.0,1190,9748480,682495,0.0005348912873783866,0.0007225432206469795,2,3,0.6949530886589479,0.09594843501878399,0.06568108348923542,0.006340309138605554,0.3948993233976642,2.53162414503768,119
19,ok,11.0000,16.2,1190,9748480,636762,0.0005960718267235663,0.0007001317878367865,3,3,0.814947760510148,0.07002170767689196,0.05226015372037221,0.00459389830934148,0.4041110675676616,1.888414633989861,119
20,ok,11.0000,14.6,1190,9748480,139753,0.0006069292061099554,0.0007456675473524367,3,2,0.8033896441127649,0.05195399756970772,0.0530877294042951,0.00384187919773655,0.39884674990548863,2.4606921437547524,119
