trial,status,episode_return,wall_clock_s,num_updates,total_timesteps,seed,actor_lr,critic_lr,ppo_epochs,num_minibatches,gamma,gae_lambda,clip_eps,ent_coef,vf_coef,max_grad_norm,num_updates
1,ok,2.1875,14.1,1200,9830400,165229,6.0664439428565306e-05,6.6535782274678e-05,3,1,0.9825027280234978,0.9744829824145119,0.38638025460817027,0.011309423093126521,0.49341078132271055,0.351509399001138,120
2,ok,5.6562,16.1,1180,9666560,758087,7.219151825657473e-05,0.0001438574247304991,3,3,0.9428826104701991,0.8543278123034208,0.1908758634086376,0.010007504613491824,0.2569252853677521,1.2840210846031126,118
3,ok,1.6250,13.4,1190,9748480,700523,0.00011419309325756272,9.728196649292136e-05,2,1,0.9891671173423405,0.8966962725421046,0.5032837740037568,0.011502322285379861,1.7891166929657407,0.8437677179518469,119
4,ok,2.4062,14.4,1200,9830400,354526,8.913983208845035e-05,0.00015501727433675397,3,1,0.9890603606611538,0.9741205397789786,0.17523330215083338,0.014428673881171056,0.6648590999818283,0.2216358773686458,120
5,ok,4.5000,17.2,1180,9666560,67920,4.986462186808495e-05,0.00017522721584845705,4,3,0.8819071129335052,0.8405633165465803,0.17253231057186713,0.010477437739938667,0.16747931444259162,1.354309625078222,118
6,ok,5.2500,16.1,1180,9666560,970698,7.42292292566135e-05,0.00017637850445539286,3,3,0.9316173161448963,0.910620487747416,0.11154664445931006,0.008787576401649682,0.13421910932220868,1.5202032740770401,118
7,ok,3.2812,14.9,1180,9666560,445688,6.071141555270036e-05,0.00014641683053648246,2,3,0.9402352022364897,0.8704545287523217,0.16092290340587412,0.012231892568786405,0.21346031820855366,1.232302672049523,118
8,ok,9.5312,17.2,1180,9666560,893121,9.632042612075943e-05,0.00015243007370908737,4,3,0.9535752119429289,0.7474225738733157,0.0966767368344383,0.01000512328664223,0.14881669268864003,1.7369964596482392,118
9,ok,11.0000,18.4,1180,9666560,677919,0.00010643760149201132,0.00012511986833019535,5,3,0.9473787126135559,0.6310405737267282,0.05406721950724329,0.011183353770572585,0.05499893748883632,2.8215254880664085,118
10,ok,11.0000,19.5,1180,9666560,778383,0.00010474970467966211,9.967772074717509e-05,6,3,0.9307196243357783,0.6869950546226482,0.022837127377405425,0.014668494131221408,0.0312533039077938,2.458999581352854,118
11,ok,10.8750,19.5,1180,9666560,759899,9.970836920798343e-05,0.00012170082755869571,6,3,0.9514194222063302,0.7385638672391865,0.03475318165399657,0.012546443539194168,0.048031952070789315,4.621807463826522,118
12,ok,11.0000,18.4,1180,9666560,194639,9.156209019037638e-05,0.0001326552776942012,5,3,0.9428547536120776,0.5417809973890328,0.018385480577822886,0.010908029661850593,0.048014248861987165,2.357582299437947,118
13,ok,10.7500,19.0,1180,9666560,363906,0.0001162817886528243,0.00015345086918226277,5,3,0.9388353947519502,0.7066767823323847,0.04372759921659958,0.007358379603388413,0.031643085924042164,2.203520766120125,118
14,ok,10.6562,18.4,1180,9666560,466721,0.00011483104286922213,0.00010971844069747228,5,3,0.9193969860820533,0.4953674097384746,0.033062135055886344,0.0259601808430656,0.024188652705648274,2.740828660192109,118
15,ok,11.0000,19.5,1180,9666560,497792,0.00013214720660088236,0.00013655400779187307,6,3,0.929206269393474,0.48940885325745664,0.03176386048179968,0.0056261058790731035,0.0684809441488806,2.8357961903226667,118
16,ok,11.0000,20.7,1180,9666560,43804,0.0001612323035252803,0.00010066050748882923,7,3,0.9432328035787905,0.47936572986631176,0.019486414978525476,0.006048091553390907,0.056022430325451164,2.300268317147882,118
17,ok,11.0000,20.7,1180,9666560,546569,0.00015016352517050038,0.00010187611529776169,7,3,0.9260159579973593,0.4281612532775765,0.013996692657312583,0.004002988374643391,0.08247276380801812,1.5954027604504353,118
18,ok,11.0000,17.4,1180,9666560,154290,0.00018689425638685318,8.015703260106835e-05,8,2,0.910117281480954,0.5099039615773343,0.011685058983517292,0.004121581630285632,0.059904540416590255,1.7591656256967634,118
19,ok,11.0000,17.2,1170,9584640,743376,0.00014963151699258931,6.904667973314281e-05,8,2,0.9225838664431464,0.5670027854208021,0.010811326512544909,0.0035311384302446672,0.05403814932913684,1.1647873053642608,117
20,ok,11.0000,21.8,1180,9666560,683049,0.00020883669627050138,7.148056315252394e-05,8,3,0.8901736886338271,0.6700469863810616,0.012253866617384417,0.004782787248576303,0.05694586177902884,1.466719619467822,118
21,ok,11.0000,18.0,1180,9666560,922527,0.00019406668731186048,8.06002349033404e-05,9,2,0.9037893964485899,0.6429322927110052,0.013577894279985108,0.0034717109258595954,0.04674365589894614,1.3865036860441198,118
22,ok,11.0000,21.9,1180,9666560,744762,0.00018298858216844085,8.184254502124617e-05,8,3,0.9113118167001764,0.7328173185957133,0.011297540957512463,0.004939282151751164,0.033306793212005456,1.011418859688886,118
23,ok,11.0000,23.0,1180,9666560,366643,0.00021685740156313803,7.540082184359294e-05,9,3,0.8101508912730907,0.6181495891038498,0.016242852183218994,0.002652866240074425,0.04978965808963656,1.615174626617827,118
24,ok,11.0000,22.8,1170,9584640,967509,0.00019212879659248082,7.311315953755269e-05,9,3,0.7174426629806803,0.7232926010872902,0.012165024546297825,0.0033492542729829946,0.04491342502581457,1.3897006765374944,117
25,ok,11.0000,23.0,1180,9666560,410850,0.00024188905009179604,7.650022291521919e-05,9,3,0.8219184836907728,0.62185017958792,0.010176866316127185,0.0019584008476490155,0.05834859874081741,3.850989214938695,118
26,ok,11.0000,23.0,1180,9666560,325826,0.0002205006005745783,7.011914944545845e-05,9,3,0.8504649761537643,0.649342580768512,0.012354792287520885,0.0012835808614878221,0.042240816334704334,2.8188168862289493,118
27,ok,11.0000,23.0,1180,9666560,905535,0.0002731587995543612,0.00010071229990770558,9,3,0.803940062428172,0.41095419507366737,0.01101634505178158,0.0019962185718464458,0.0383795614602675,2.951323846551416,118
28,ok,11.0000,24.2,1180,9666560,370460,0.00031770491628733624,8.062333558649063e-05,10,3,0.8296904679550422,0.4450160649144938,0.010199869280004234,0.0027267815616680157,0.04089572248403876,2.6018590707055513,118
29,ok,11.0000,24.1,1180,9666560,76344,0.00023547479500507423,8.939220857921332e-05,10,3,0.8896421240851738,0.36621095035818096,0.010016653610167271,0.00255232333933479,0.025279667284015345,3.6273274577997325,118
30,ok,11.0000,24.2,1180,9666560,469556,0.0002799066005030953,9.375262420013854e-05,10,3,0.7924145226789147,0.48232970424701993,0.011118248031536722,0.002461258053851307,0.02895904552111557,5.258071732534825,118
31,ok,11.0000,25.5,1190,9748480,795680,0.0002837353994586412,6.357516647950458e-05,11,3,0.8528214862286454,0.3835214404663467,0.01085536547681418,0.003919849096097508,0.03964099357495654,1.6962529188125528,119
32,ok,11.0000,19.0,1170,9584640,189472,0.00031276698208469104,6.609396702845585e-05,11,2,0.8897066506775482,0.46281816060986747,0.010363924862805992,0.0033492542729829946,0.032870197303474936,1.921538220917412,117
33,ok,11.0000,24.2,1180,9666560,462941,0.0003621257004836499,7.506652633553541e-05,10,3,0.8385478890517505,0.3309760592129393,0.010673062277906402,0.004491157582412426,0.03643520123561312,1.9609897017358173,118
34,ok,11.0000,24.2,1180,9666560,129922,0.0003196815618984314,0.00010204627792826163,10,3,0.7824399879423126,0.39463240758661106,0.010666849949753254,0.006158953316280977,0.022953360679115773,1.5603620664819031,118
35,ok,11.0000,24.0,1170,9584640,686478,0.00028888362378004875,6.794300284126697e-05,10,3,0.8262336290802803,0.2613100643636063,0.012349317277579855,0.0030202469719342127,0.039450468926393416,1.7290338824624245,117
36,ok,11.0000,24.1,1180,9666560,475705,0.0004640078884527962,8.523328484219312e-05,10,3,0.8297800073228833,0.2966868156242581,0.010163638705792266,0.0023297551775703536,0.02411072416899124,1.758840803180201,118
