trial,status,episode_return,wall_clock_s,num_updates,total_timesteps,seed,actor_lr,critic_lr,ppo_epochs,num_minibatches,gamma,gae_lambda,clip_eps,ent_coef,vf_coef,max_grad_norm,num_updates
1,ok,-0.1875,7.3,1200,9830400,89251,6.0664439428565306e-05,6.6535782274678e-05,3,1,0.9825027280234978,0.9744829824145119,0.38638025460817027,0.011309423093126521,0.49341078132271055,0.351509399001138,120
2,ok,4.5312,6.1,1180,9666560,773956,7.219151825657473e-05,0.0001438574247304991,3,3,0.9428826104701991,0.8543278123034208,0.1908758634086376,0.010007504613491824,0.2569252853677521,1.2840210846031126,118
3,ok,1.3125,5.3,1190,9748480,654571,0.00011419309325756272,9.728196649292136e-05,2,1,0.9891671173423405,0.8966962725421046,0.5032837740037568,0.011502322285379861,1.7891166929657407,0.8437677179518469,119
4,ok,2.2188,5.5,1200,9830400,438879,8.913983208845035e-05,0.00015501727433675397,3,1,0.9890603606611538,0.9741205397789786,0.17523330215083338,0.014428673881171056,0.6648590999818283,0.2216358773686458,120
5,ok,4.9375,5.9,1190,9748480,433015,9.183019691547265e-05,0.00018727878970462405,3,3,0.9216560734146189,0.7575432987486604,0.13773192945842289,0.011340424873254326,0.2353864550338442,1.5134283330495115,119
6,ok,4.8438,5.9,1190,9748480,858598,0.00012997744573214448,0.00019626801976740398,3,3,0.9111039904333128,0.5884202890557649,0.1175039224636702,0.018380782841314548,0.1488550136314678,1.2243322729179276,119
7,ok,4.7812,5.9,1190,9748480,85946,0.0001023830721520765,0.000227613740999117,3,3,0.8720582396082114,0.6947126092296918,0.11771819535402493,0.010443768599396037,0.2956860244453947,1.2746772273122053,119
8,ok,4.9375,5.9,1190,9748480,697368,9.671251845040014e-05,0.00019928690814060817,3,3,0.9306087095368721,0.8042586441902572,0.16632586855271322,0.010323712628268485,0.19668225878007717,3.2012829802363454,119
9,ok,4.6875,5.8,1190,9748480,201470,9.495348941374263e-05,0.00032275642263271273,3,3,0.9545914471234147,0.7528491828188423,0.13804204214741506,0.012715711693664903,0.21304337069281412,5.440372848475943,119
10,ok,5.0000,6.2,1190,9748480,94178,0.00011112021076972583,0.00016468383156859992,3,3,0.9014857509700724,0.7534770546856423,0.0847173821830581,0.009706841795231276,0.18607979369617303,5.775572112893504,119
11,ok,5.0000,5.6,1190,9748480,526479,0.00013074692231322736,0.00019594730367492697,2,3,0.887696782782792,0.7458078321503859,0.06681501394957397,0.004728728368151708,0.24065640574268962,9.420432607545031,119
12,ok,4.7188,5.6,1190,9748480,975622,0.0001619086309198166,0.0001971407659876395,2,3,0.8770618053996457,0.6078402579421235,0.033527705131055,0.005730902987409208,0.28773525489211466,15.231225469083338,119
13,ok,4.7812,5.6,1190,9748480,735752,0.00014283942680327162,0.00024031582245185204,2,3,0.8707853899582397,0.8051803717173868,0.0541771758915006,0.0031113902938250844,0.13845922535319327,7.357055744783581,119
14,ok,4.3750,5.7,1190,9748480,761139,0.00011408281281565392,0.00019327618757456947,2,3,0.8510078716586231,0.6809359258792677,0.08576870218497198,0.006258746065476114,0.26452846836864574,9.786216771334526,119
15,ok,5.0000,5.9,1190,9748480,717477,0.00012814193802431474,0.00015810201902412567,3,3,0.8931055297137751,0.7453294299807318,0.07957414891227721,0.0028584179881455994,0.30572230450556154,8.59461434051305,119
16,ok,5.0000,5.9,1190,9748480,786064,0.00015952382199853297,0.0001444421540453663,3,3,0.9091435247800027,0.7381092394741671,0.041571195925756775,0.005083406305607975,0.1968746012633544,7.641424037417433,119
17,ok,4.9375,6.2,1190,9748480,513227,0.00012635808376546565,0.00015942646805155628,3,3,0.9246390237323768,0.7808933671702861,0.05716240451666137,0.004080469575441985,0.28487507674374213,8.522962350246155,119
18,ok,4.7812,5.8,1180,9666560,128114,0.0002416095516896705,0.00015168396563959967,4,2,0.9256444862120238,0.6443441184056272,0.037920347805759785,0.0028714185666428504,0.1648765584462973,8.583560665901146,118
19,ok,5.0000,5.9,1190,9748480,839748,0.000205851392951547,0.0001202579753360993,3,3,0.8721180393378939,0.7229285680944616,0.029126080285844513,0.00478047723453898,0.33253729807302823,7.146533913683992,119
20,ok,5.0000,6.2,1200,9830400,450386,0.0002866521878550172,0.00010575143521216885,4,3,0.8523740334256265,0.5992239653670237,0.01711162397993378,0.0050728712438634915,0.325476090949373,9.361859389514088,120
21,ok,5.0000,6.1,1190,9748480,500352,0.0002599288746397749,0.000106024938582499,4,3,0.8507023871477265,0.7849773064578622,0.01505075712650157,0.005736540505493849,0.5788445876924543,7.4342152624772915,119
22,ok,5.0000,6.5,1200,9830400,370798,0.00030393014748670124,9.989684517677201e-05,5,3,0.8155350985537838,0.7936305302254592,0.016652696924043735,0.00853737274980956,1.0603364793390502,10.393019750996066,120
23,ok,5.0000,5.8,1190,9748480,182550,0.00031894811889139575,0.00012377046851762836,3,3,0.8823589414065788,0.7674790323861326,0.016370079689270952,0.007012061223063299,0.49939198175965843,6.274771063877938,119
24,ok,5.0000,5.9,1190,9748480,926765,0.00037456388905681283,0.00014833102065772694,3,3,0.879223418860981,0.7351192106990787,0.01945490427078576,0.013574305197275628,0.3548169538192331,7.062507296507374,119
25,ok,5.0000,5.9,1190,9748480,781567,0.00036686359997781807,0.0002167237494207068,3,3,0.853269156566739,0.7305124422135659,0.014793093456820528,0.01612554071150313,0.5881753196727363,7.490734676564223,119
26,ok,5.0000,6.3,1190,9748480,643865,0.0004491411541396425,0.00014832141215517395,3,3,0.8963873390962745,0.6879492584850505,0.030035534167465777,0.017192297572512994,0.23824553477122545,7.233303271869146,119
27,ok,5.0000,5.8,1190,9748480,402414,0.0005089926730185194,0.0001381486123968306,3,3,0.9130249147518765,0.510765822508057,0.01659267113857784,0.01785088984959391,0.23963060882860981,12.147904964561771,119
28,ok,5.0000,6.1,1190,9748480,822761,0.0005919980422963986,0.00011059227073837798,4,3,0.9257710216872509,0.545440113683738,0.015369329014631497,0.0243838482161434,0.2553408076968764,10.70947616308958,119
29,ok,5.0000,6.4,1190,9748480,545429,0.0005718956955381506,9.759135636888744e-05,5,3,0.9120292841384076,0.5329975324558776,0.010677796363555602,0.015304191805429586,0.2845787147068158,9.44817516163201,119
30,ok,5.0000,6.1,1200,9830400,443414,0.0008375832664263857,0.00013055305208497817,4,3,0.9505161116707296,0.385818832210845,0.01322530250775894,0.021799414486582677,0.2716809969742753,15.10192557807782,120
31,ok,5.0000,6.1,1180,9666560,450460,0.0007216877328346654,0.00011011796989465095,4,3,0.9286713307049493,0.472555532400185,0.013575038025023281,0.016488882351953633,0.3452759621623951,9.141733906697462,118
32,ok,5.0000,6.1,1170,9584640,227239,0.0008772817123525957,0.00012392126763299935,4,3,0.9011094721763624,0.5405525879513616,0.010978125621979973,0.01681003172013482,0.3601198239107279,16.196281505605747,117
33,ok,5.0000,6.3,1170,9584640,92136,0.0008331289629796667,0.00012667820543620288,5,3,0.8529516368584078,0.5195743900090578,0.01016429595377981,0.019989535739636306,0.4879694566415479,12.924197453891846,117
34,ok,5.0000,6.0,1170,9584640,554585,0.0008401133072678194,0.00014278971980194758,4,3,0.9004016029023492,0.6183170913925388,0.01178702312946736,0.022036010605425364,0.3866553495788371,19.857306820566297,117
35,ok,5.0000,6.1,1170,9584640,887889,0.0009027239445126508,0.00013761459109741858,4,3,0.9191995562916928,0.4083672036663443,0.012868741730713994,0.012846037290677043,0.7036174316772652,17.19360009503366,117
36,ok,5.0000,6.6,1180,9666560,63818,0.0008568747718341879,0.00016240188949128275,4,3,0.8858235778357464,0.5168068616371339,0.011382301174772966,0.012892054055331918,1.0362915308006462,17.279766152723404,118
37,ok,5.0000,6.1,1170,9584640,858291,0.0006632065948467372,0.00017730077433582425,4,3,0.9156233049502477,0.27214747203112005,0.010724937076538873,0.011715732712628036,0.6910594621534523,17.03078045562407,117
38,ok,5.0000,6.1,1170,9584640,827631,0.0009686448412178026,0.000130824321167797,4,3,0.9058663254619648,0.5055183536731771,0.01371349199559713,0.007351362133216064,1.2288509802531928,17.16931674313735,117
39,ok,5.0000,5.8,1170,9584640,276760,0.000985668286368519,0.00014234258745949593,3,3,0.8863179016510485,0.6069819394743005,0.01753405505170955,0.005511351934910348,1.5351152438336446,10.58123818304776,117
40,ok,5.0000,5.8,1170,9584640,631664,0.0007944989306930578,0.00017180437833176342,3,3,0.8458245030947419,0.4793984584636645,0.013179435905978,0.0035484763411068048,1.8766760415565118,10.41253962976843,117
